<<<<<<< HEAD
Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
Albury,13.4,22.9,0.6,WGD_W,44.0,WD9_W,WD15_WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,16.9,21.8,No,No,-36.0736,146.9135,2008,12,1
Albury,7.4,25.1,0.0,WGD_WNW,44.0,WD9_NNW,WD15_WSW,4.0,22.0,44.0,25.0,1010.6,1007.8,17.2,24.3,No,No,-36.0736,146.9135,2008,12,2
Albury,12.9,25.7,0.0,WGD_WSW,46.0,WD9_W,WD15_WSW,19.0,26.0,38.0,30.0,1007.6,1008.7,21.0,23.2,No,No,-36.0736,146.9135,2008,12,3
Albury,9.2,28.0,0.0,WGD_NE,24.0,WD9_SE,WD15_E,11.0,9.0,45.0,16.0,1017.6,1012.8,18.1,26.5,No,No,-36.0736,146.9135,2008,12,4
Albury,17.5,32.3,1.0,WGD_W,41.0,WD9_ENE,WD15_NW,7.0,20.0,82.0,33.0,1010.8,1006.0,17.8,29.7,No,No,-36.0736,146.9135,2008,12,5
Albury,14.6,29.7,0.2,WGD_WNW,56.0,WD9_W,WD15_W,19.0,24.0,55.0,23.0,1009.2,1005.4,20.6,28.9,No,No,-36.0736,146.9135,2008,12,6
Albury,14.3,25.0,0.0,WGD_W,50.0,WD9_SW,WD15_W,20.0,24.0,49.0,19.0,1009.6,1008.2,18.1,24.6,No,No,-36.0736,146.9135,2008,12,7
Albury,7.7,26.7,0.0,WGD_W,35.0,WD9_SSE,WD15_W,6.0,17.0,48.0,19.0,1013.4,1010.1,16.3,25.5,No,No,-36.0736,146.9135,2008,12,8
Albury,9.7,31.9,0.0,WGD_NNW,80.0,WD9_SE,WD15_NW,7.0,28.0,42.0,9.0,1008.9,1003.6,18.3,30.2,No,Yes,-36.0736,146.9135,2008,12,9
Albury,13.1,30.1,1.4,WGD_W,28.0,WD9_S,WD15_SSE,15.0,11.0,58.0,27.0,1007.0,1005.7,20.1,28.2,Yes,No,-36.0736,146.9135,2008,12,10
Albury,13.4,30.4,0.0,WGD_N,30.0,WD9_SSE,WD15_ESE,17.0,6.0,48.0,22.0,1011.8,1008.7,20.4,28.8,No,Yes,-36.0736,146.9135,2008,12,11
Albury,15.9,21.7,2.2,WGD_NNE,31.0,WD9_NE,WD15_ENE,15.0,13.0,89.0,91.0,1010.5,1004.2,15.9,17.0,Yes,Yes,-36.0736,146.9135,2008,12,12
Albury,15.9,18.6,15.6,WGD_W,61.0,WD9_NNW,WD15_NNW,28.0,28.0,76.0,93.0,994.3,993.0,17.4,15.8,Yes,Yes,-36.0736,146.9135,2008,12,13
Albury,12.6,21.0,3.6,WGD_SW,44.0,WD9_W,WD15_SSW,24.0,20.0,65.0,43.0,1001.2,1001.8,15.8,19.8,Yes,No,-36.0736,146.9135,2008,12,14
Albury,8.4,24.6,0.0,WGD_nan,39.0,WD9_S,WD15_WNW,4.0,30.0,57.0,32.0,1009.7,1008.7,15.9,23.5,No,No,-36.0736,146.9135,2008,12,15
Albury,9.8,27.7,0.0,WGD_WNW,50.0,WD9_nan,WD15_WNW,13.0,22.0,50.0,28.0,1013.4,1010.3,17.3,26.2,No,No,-36.0736,146.9135,2008,12,16
Albury,14.1,20.9,0.0,WGD_ENE,22.0,WD9_SSW,WD15_E,11.0,9.0,69.0,82.0,1012.2,1010.4,17.2,18.1,No,Yes,-36.0736,146.9135,2008,12,17
Albury,13.5,22.9,16.8,WGD_W,63.0,WD9_N,WD15_WNW,6.0,20.0,80.0,65.0,1005.8,1002.2,18.0,21.5,Yes,Yes,-36.0736,146.9135,2008,12,18
Albury,11.2,22.5,10.6,WGD_SSE,43.0,WD9_WSW,WD15_SW,24.0,17.0,47.0,32.0,1009.4,1009.7,15.5,21.0,Yes,No,-36.0736,146.9135,2008,12,19
Albury,9.8,25.6,0.0,WGD_SSE,26.0,WD9_SE,WD15_NNW,17.0,6.0,45.0,26.0,1019.2,1017.1,15.8,23.2,No,No,-36.0736,146.9135,2008,12,20
Albury,11.5,29.3,0.0,WGD_S,24.0,WD9_SE,WD15_SE,9.0,9.0,56.0,28.0,1019.3,1014.8,19.1,27.3,No,No,-36.0736,146.9135,2008,12,21
Albury,17.1,33.0,0.0,WGD_NE,43.0,WD9_NE,WD15_N,17.0,22.0,38.0,28.0,1013.6,1008.1,24.5,31.6,No,No,-36.0736,146.9135,2008,12,22
Albury,20.5,31.8,0.0,WGD_WNW,41.0,WD9_W,WD15_W,19.0,20.0,54.0,24.0,1007.8,1005.7,23.8,30.8,No,No,-36.0736,146.9135,2008,12,23
Albury,15.3,30.9,0.0,WGD_N,33.0,WD9_ESE,WD15_NW,6.0,13.0,55.0,23.0,1011.0,1008.2,20.9,29.0,No,No,-36.0736,146.9135,2008,12,24
Albury,12.6,32.4,0.0,WGD_W,43.0,WD9_E,WD15_W,4.0,19.0,49.0,17.0,1012.9,1010.1,21.5,31.2,No,No,-36.0736,146.9135,2008,12,25
Albury,16.2,33.9,0.0,WGD_WSW,35.0,WD9_SE,WD15_WSW,9.0,13.0,45.0,19.0,1010.9,1007.6,23.2,33.0,No,No,-36.0736,146.9135,2008,12,26
Albury,16.9,33.0,0.0,WGD_WSW,57.0,WD9_nan,WD15_W,0.0,26.0,41.0,28.0,1006.8,1003.6,26.6,31.2,No,No,-36.0736,146.9135,2008,12,27
Albury,20.1,32.7,0.0,WGD_WNW,48.0,WD9_N,WD15_WNW,13.0,30.0,56.0,15.0,1005.2,1001.7,24.6,32.1,No,No,-36.0736,146.9135,2008,12,28
Albury,19.7,27.2,0.0,WGD_WNW,46.0,WD9_NW,WD15_WSW,19.0,30.0,49.0,22.0,1004.8,1004.2,21.6,26.1,No,Yes,-36.0736,146.9135,2008,12,29
Albury,12.5,24.2,1.2,WGD_WNW,50.0,WD9_WSW,WD15_SW,11.0,22.0,78.0,70.0,1005.6,1003.4,12.5,18.2,Yes,No,-36.0736,146.9135,2008,12,30
Albury,12.0,24.4,0.8,WGD_W,39.0,WD9_WNW,WD15_WNW,17.0,17.0,48.0,28.0,1006.1,1005.1,16.9,22.7,No,No,-36.0736,146.9135,2008,12,31
Newcastle,13.2,22.6,0.0,WGD_nan,39.0,WD9_NW,WD15_NW,6.0,19.0,50.0,24.0,1017.6,1015.2,21.8,30.6,No,No,-32.9333,151.75,2008,12,1
Newcastle,12.0,32.2,0.0,WGD_nan,39.0,WD9_nan,WD15_NE,13.0,19.0,70.0,59.0,1017.6,1015.2,16.7,25.4,No,No,-32.9333,151.75,2008,12,2
Newcastle,16.2,32.2,0.0,WGD_nan,39.0,WD9_N,WD15_SE,2.0,2.0,74.0,26.0,1017.6,1015.2,22.2,32.0,No,No,-32.9333,151.75,2008,12,3
Newcastle,19.2,24.0,0.0,WGD_nan,39.0,WD9_SE,WD15_SE,22.0,22.0,66.0,61.0,1017.6,1015.2,20.4,23.0,No,No,-32.9333,151.75,2008,12,4
Newcastle,18.8,30.2,0.0,WGD_nan,39.0,WD9_NE,WD15_nan,4.0,19.0,85.0,52.0,1017.6,1015.2,20.0,21.1,No,No,-32.9333,151.75,2008,12,5
Newcastle,19.8,34.2,0.0,WGD_nan,39.0,WD9_NW,WD15_NW,4.0,7.0,56.0,39.0,1017.6,1015.2,29.2,31.8,No,No,-32.9333,151.75,2008,12,6
Newcastle,19.4,27.8,0.0,WGD_nan,39.0,WD9_nan,WD15_SE,0.0,6.0,91.0,39.0,1017.6,1015.2,20.8,27.0,No,No,-32.9333,151.75,2008,12,7
Newcastle,12.0,26.2,0.0,WGD_nan,39.0,WD9_nan,WD15_NE,13.0,22.0,70.0,71.0,1017.6,1015.2,16.7,22.2,No,No,-32.9333,151.75,2008,12,8
Newcastle,15.6,29.4,0.0,WGD_nan,39.0,WD9_NE,WD15_NW,4.0,19.0,78.0,53.0,1017.6,1015.2,21.2,28.2,No,No,-32.9333,151.75,2008,12,9
Newcastle,19.2,26.4,0.0,WGD_nan,39.0,WD9_SE,WD15_nan,22.0,19.0,63.0,52.0,1017.6,1015.2,25.8,21.1,No,No,-32.9333,151.75,2008,12,10
Newcastle,19.4,21.4,0.0,WGD_nan,39.0,WD9_NE,WD15_SE,2.0,9.0,83.0,72.0,1017.6,1015.2,19.6,20.0,No,No,-32.9333,151.75,2008,12,11
Newcastle,18.0,22.4,0.4,WGD_nan,39.0,WD9_NE,WD15_NE,4.0,9.0,87.0,96.0,1017.6,1015.2,18.8,18.8,No,Yes,-32.9333,151.75,2008,12,12
Newcastle,18.2,31.6,29.8,WGD_nan,39.0,WD9_nan,WD15_NW,0.0,50.0,95.0,51.0,1017.6,1015.2,22.2,28.8,Yes,No,-32.9333,151.75,2008,12,13
Newcastle,18.2,27.2,1.0,WGD_nan,39.0,WD9_SW,WD15_NW,19.0,46.0,55.0,39.0,1017.6,1015.2,22.0,25.4,No,No,-32.9333,151.75,2008,12,14
Newcastle,16.6,22.8,0.0,WGD_nan,39.0,WD9_S,WD15_SE,9.0,28.0,42.0,49.0,1017.6,1015.2,20.4,21.8,No,No,-32.9333,151.75,2008,12,15
Newcastle,11.6,27.0,0.0,WGD_nan,39.0,WD9_nan,WD15_NE,0.0,4.0,72.0,51.0,1017.6,1015.2,18.8,26.0,No,No,-32.9333,151.75,2008,12,16
Newcastle,14.4,29.0,0.0,WGD_nan,39.0,WD9_nan,WD15_SE,0.0,7.0,51.0,44.0,1017.6,1015.2,23.2,28.2,No,No,-32.9333,151.75,2008,12,17
Newcastle,17.6,34.0,0.0,WGD_nan,39.0,WD9_SE,WD15_SE,4.0,56.0,91.0,34.0,1017.6,1015.2,20.0,31.0,No,Yes,-32.9333,151.75,2008,12,18
Newcastle,18.0,26.6,1.2,WGD_nan,39.0,WD9_nan,WD15_SE,0.0,46.0,71.0,98.0,1017.6,1015.2,22.4,23.0,Yes,No,-32.9333,151.75,2008,12,19
Newcastle,17.6,21.6,0.0,WGD_nan,39.0,WD9_S,WD15_SE,19.0,9.0,96.0,96.0,1017.6,1015.2,19.4,20.8,No,No,-32.9333,151.75,2008,12,20
Newcastle,12.6,24.2,0.0,WGD_nan,39.0,WD9_SE,WD15_SE,4.0,19.0,96.0,98.0,1017.6,1015.2,20.0,23.6,No,No,-32.9333,151.75,2008,12,21
Newcastle,15.2,26.4,0.0,WGD_nan,39.0,WD9_NE,WD15_NE,7.0,19.0,100.0,49.0,1017.6,1015.2,20.6,25.4,No,No,-32.9333,151.75,2008,12,22
Newcastle,16.0,31.0,0.0,WGD_nan,39.0,WD9_NW,WD15_nan,4.0,0.0,62.0,42.0,1017.6,1015.2,21.6,29.0,No,Yes,-32.9333,151.75,2008,12,23
Newcastle,18.8,22.6,2.0,WGD_nan,39.0,WD9_SE,WD15_SE,9.0,9.0,81.0,73.0,1017.6,1015.2,20.2,21.0,Yes,No,-32.9333,151.75,2008,12,24
Newcastle,12.0,25.6,0.0,WGD_nan,39.0,WD9_nan,WD15_nan,13.0,19.0,70.0,52.0,1017.6,1015.2,16.7,21.1,No,No,-32.9333,151.75,2008,12,25
Newcastle,19.2,29.4,0.0,WGD_nan,39.0,WD9_NE,WD15_SE,4.0,11.0,87.0,63.0,1017.6,1015.2,21.8,29.0,No,No,-32.9333,151.75,2008,12,26
Newcastle,19.2,30.6,0.0,WGD_nan,39.0,WD9_NE,WD15_NE,4.0,19.0,88.0,51.0,1017.6,1015.2,23.4,30.4,No,No,-32.9333,151.75,2008,12,27
Newcastle,18.6,31.2,0.0,WGD_nan,39.0,WD9_NW,WD15_nan,4.0,19.0,74.0,52.0,1017.6,1015.2,23.8,21.1,No,No,-32.9333,151.75,2008,12,28
Newcastle,20.2,28.8,0.0,WGD_nan,39.0,WD9_NW,WD15_SW,2.0,19.0,57.0,80.0,1017.6,1015.2,28.0,21.6,No,Yes,-32.9333,151.75,2008,12,29
Newcastle,19.2,33.4,10.6,WGD_nan,39.0,WD9_nan,WD15_NW,0.0,7.0,77.0,36.0,1017.6,1015.2,22.0,30.8,Yes,No,-32.9333,151.75,2008,12,30
Newcastle,15.4,33.4,0.0,WGD_nan,39.0,WD9_nan,WD15_NW,0.0,15.0,50.0,23.0,1017.6,1015.2,23.8,32.2,No,No,-32.9333,151.75,2008,12,31
Penrith,15.2,32.6,0.0,WGD_WNW,59.0,WD9_NNE,WD15_W,13.0,22.0,35.0,23.0,1017.6,1015.2,24.4,31.3,No,No,-33.75,150.7,2008,12,1
Penrith,15.0,31.7,0.0,WGD_ENE,28.0,WD9_NNE,WD15_N,13.0,15.0,64.0,38.0,1017.6,1015.2,20.4,30.1,No,No,-33.75,150.7,2008,12,2
Penrith,15.9,33.4,0.0,WGD_NW,52.0,WD9_N,WD15_NW,9.0,30.0,63.0,16.0,1017.6,1015.2,21.0,31.4,No,No,-33.75,150.7,2008,12,3
Penrith,17.2,24.8,0.0,WGD_E,35.0,WD9_SSE,WD15_E,9.0,19.0,71.0,55.0,1017.6,1015.2,19.5,22.7,No,No,-33.75,150.7,2008,12,4
Penrith,17.8,32.2,0.0,WGD_ENE,28.0,WD9_NE,WD15_ENE,7.0,15.0,97.0,48.0,1017.6,1015.2,19.8,29.6,No,No,-33.75,150.7,2008,12,5
Penrith,18.1,36.2,0.2,WGD_W,46.0,WD9_NW,WD15_W,7.0,24.0,75.0,26.0,1017.6,1015.2,25.9,35.7,No,No,-33.75,150.7,2008,12,6
Penrith,19.3,27.8,0.0,WGD_S,50.0,WD9_NE,WD15_SE,4.0,24.0,99.0,89.0,1017.6,1015.2,20.3,21.7,No,Yes,-33.75,150.7,2008,12,7
Penrith,17.2,26.9,12.0,WGD_NNE,37.0,WD9_W,WD15_NNE,6.0,11.0,84.0,99.0,1017.6,1015.2,20.5,19.6,Yes,Yes,-33.75,150.7,2008,12,8
Penrith,15.9,33.0,4.8,WGD_NNW,35.0,WD9_NNE,WD15_WNW,7.0,15.0,89.0,21.0,1017.6,1015.2,20.0,32.2,Yes,No,-33.75,150.7,2008,12,9
Penrith,19.5,22.6,0.0,WGD_nan,39.0,WD9_SSE,WD15_nan,15.0,19.0,60.0,52.0,1017.6,1015.2,23.5,21.1,No,No,-33.75,150.7,2008,12,10
Penrith,12.0,18.7,0.0,WGD_ESE,31.0,WD9_S,WD15_ESE,13.0,11.0,100.0,84.0,1017.6,1015.2,17.4,18.6,No,Yes,-33.75,150.7,2008,12,11
Penrith,15.5,21.1,6.8,WGD_SSW,17.0,WD9_E,WD15_SSW,7.0,9.0,100.0,52.0,1017.6,1015.2,15.8,16.7,Yes,Yes,-33.75,150.7,2008,12,12
Penrith,15.8,32.7,42.2,WGD_NW,76.0,WD9_NNW,WD15_WNW,9.0,31.0,100.0,35.0,1017.6,1015.2,21.1,32.0,Yes,No,-33.75,150.7,2008,12,13
Penrith,19.1,25.5,0.0,WGD_WSW,61.0,WD9_W,WD15_WSW,26.0,30.0,42.0,37.0,1017.6,1015.2,21.8,23.3,No,No,-33.75,150.7,2008,12,14
Penrith,15.1,27.3,0.0,WGD_S,43.0,WD9_SSW,WD15_SE,19.0,9.0,42.0,34.0,1017.6,1015.2,20.0,25.8,No,No,-33.75,150.7,2008,12,15
Penrith,12.9,30.5,0.0,WGD_E,24.0,WD9_SSE,WD15_E,2.0,13.0,70.0,32.0,1017.6,1015.2,18.4,29.2,No,No,-33.75,150.7,2008,12,16
Penrith,14.8,31.6,0.0,WGD_SE,50.0,WD9_N,WD15_N,4.0,13.0,69.0,30.0,1017.6,1015.2,21.9,30.4,No,No,-33.75,150.7,2008,12,17
Penrith,18.6,33.5,0.0,WGD_NW,56.0,WD9_NNE,WD15_NW,7.0,30.0,60.0,26.0,1017.6,1015.2,23.3,32.1,No,No,-33.75,150.7,2008,12,18
Penrith,15.8,28.5,0.0,WGD_SE,54.0,WD9_SE,WD15_SE,6.0,20.0,44.0,27.0,1017.6,1015.2,23.0,28.0,No,No,-33.75,150.7,2008,12,19
Penrith,14.2,24.1,0.0,WGD_SSE,39.0,WD9_S,WD15_SE,19.0,20.0,52.0,55.0,1017.6,1015.2,18.3,20.6,No,No,-33.75,150.7,2008,12,20
Penrith,10.7,25.8,0.0,WGD_ENE,30.0,WD9_SSW,WD15_E,6.0,13.0,66.0,40.0,1017.6,1015.2,18.6,24.1,No,No,-33.75,150.7,2008,12,21
Penrith,13.3,30.1,0.0,WGD_ENE,33.0,WD9_N,WD15_NE,7.0,17.0,72.0,33.0,1017.6,1015.2,19.5,29.0,No,No,-33.75,150.7,2008,12,22
