MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
19.4,31.9,5.0,NNE,39.0,NW,WNW,9.0,9.0,70.0,40.0,1012.2,1008.5,23.4,30.9,Yes,Yes,-36.0736,146.9135,2010,1,1
18.6,29.1,12.4,W,56.0,S,W,6.0,28.0,88.0,48.0,1007.8,1006.2,20.6,28.0,Yes,No,-36.0736,146.9135,2010,1,2
12.2,29.7,0.0,W,30.0,SSW,SW,9.0,19.0,57.0,32.0,1014.4,1012.5,18.0,28.0,No,No,-36.0736,146.9135,2010,1,3
14.8,32.8,0.0,SW,30.0,ENE,NNW,11.0,9.0,55.0,24.0,1017.5,1013.6,21.3,30.6,No,No,-36.0736,146.9135,2010,1,4
15.0,35.8,0.0,W,46.0,E,NW,4.0,17.0,46.0,13.0,1014.9,1011.5,23.3,34.9,No,No,-36.0736,146.9135,2010,1,5
16.3,33.8,0.0,WNW,41.0,ENE,W,2.0,26.0,49.0,7.0,1014.1,1011.5,24.3,33.4,No,No,-36.0736,146.9135,2010,1,6
15.0,33.0,0.0,SSE,28.0,NE,W,9.0,19.0,45.0,17.0,1014.9,1012.7,22.8,31.8,No,No,-36.0736,146.9135,2010,1,7
17.4,36.4,0.0,N,30.0,SE,WNW,6.0,13.0,50.0,19.0,1018.0,1014.6,24.6,35.3,No,No,-36.0736,146.9135,2010,1,8
19.6,39.8,0.0,W,41.0,ESE,W,7.0,22.0,48.0,19.0,1017.2,1013.1,26.4,38.6,No,No,-36.0736,146.9135,2010,1,9
20.6,42.2,0.0,WSW,41.0,E,SW,9.0,15.0,38.0,8.0,1015.4,1011.2,27.8,41.2,No,No,-36.0736,146.9135,2010,1,10
21.0,42.2,0.0,NE,30.0,SE,NNW,11.0,9.0,39.0,15.0,1013.8,1009.1,29.1,40.9,No,No,-36.0736,146.9135,2010,1,11
24.5,42.4,0.2,NNW,74.0,S,NNW,7.0,33.0,48.0,12.0,1007.7,1003.6,29.4,41.1,No,No,-36.0736,146.9135,2010,1,12
22.6,28.4,0.4,SW,44.0,WSW,WNW,13.0,11.0,56.0,79.0,1009.8,1012.0,25.1,19.9,No,Yes,-36.0736,146.9135,2010,1,13
