Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
Albury,12.1,34.5,0.0,WGD_W,44.0,WD9_SE,WD15_W,4.0,22.0,49.0,16.0,1012.8,1009.3,22.3,32.7,No,No,-36.0736,146.9135,2013,1,1
Albury,13.8,33.6,0.0,WGD_SSE,28.0,WD9_SSW,WD15_ESE,9.0,11.0,48.0,17.0,1012.2,1010.9,21.4,31.2,No,No,-36.0736,146.9135,2013,1,2
Albury,15.8,36.9,0.0,WGD_E,22.0,WD9_S,WD15_SSW,7.0,11.0,32.0,20.0,1015.8,1011.9,23.6,33.9,No,No,-36.0736,146.9135,2013,1,3
Albury,18.6,40.7,0.0,WGD_ENE,44.0,WD9_ESE,WD15_N,7.0,24.0,44.0,12.0,1012.3,1008.1,27.8,39.3,No,No,-36.0736,146.9135,2013,1,4
Albury,19.8,43.4,0.0,WGD_NW,81.0,WD9_S,WD15_ESE,7.0,11.0,36.0,17.0,1012.4,1009.8,30.7,42.4,No,Yes,-36.0736,146.9135,2013,1,5
Albury,20.9,42.0,12.6,WGD_SSE,39.0,WD9_ENE,WD15_SW,4.0,15.0,40.0,22.0,1017.6,1014.3,29.2,40.7,Yes,No,-36.0736,146.9135,2013,1,6
Albury,21.9,40.4,0.0,WGD_NNW,41.0,WD9_E,WD15_ENE,11.0,24.0,47.0,22.0,1018.2,1012.4,29.7,38.2,No,No,-36.0736,146.9135,2013,1,7
Albury,21.9,39.2,0.0,WGD_WNW,78.0,WD9_NW,WD15_WSW,31.0,22.0,24.0,16.0,1002.4,997.2,34.5,34.9,No,No,-36.0736,146.9135,2013,1,8
Albury,13.3,25.1,0.0,WGD_WSW,52.0,WD9_WSW,WD15_NW,20.0,22.0,46.0,27.0,1002.4,1002.1,17.0,23.9,No,No,-36.0736,146.9135,2013,1,9
Albury,11.2,32.2,0.0,WGD_NNE,31.0,WD9_SE,WD15_SSE,9.0,11.0,48.0,24.0,1007.8,1006.0,20.1,29.5,No,No,-36.0736,146.9135,2013,1,10
Albury,14.5,38.8,0.0,WGD_NNW,37.0,WD9_SE,WD15_NNW,7.0,19.0,48.0,12.0,1007.6,1004.1,23.0,36.4,No,No,-36.0736,146.9135,2013,1,11
Albury,17.0,28.8,0.0,WGD_W,37.0,WD9_W,WD15_W,19.0,24.0,42.0,32.0,1007.0,1010.2,23.2,26.0,No,No,-36.0736,146.9135,2013,1,12
