Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Coordinates
2016-01-01,Albury,20.4,37.6,0.0,ENE,54.0,E,ESE,0.0,7.0,46.0,17.0,1013.4,1009.2,26.1,36.7,No,No,"(-36.0736, 146.9135)"
2016-01-02,Albury,20.9,33.6,0.4,SSE,50.0,SSE,SE,9.0,17.0,54.0,30.0,1011.1,1008.4,24.8,31.7,No,Yes,"(-36.0736, 146.9135)"
2016-01-03,Albury,18.4,23.1,2.2,ENE,48.0,ESE,ENE,11.0,39.0,62.0,67.0,1014.0,1014.8,21.8,19.5,Yes,Yes,"(-36.0736, 146.9135)"
2016-01-04,Albury,17.3,23.7,15.6,SSE,39.0,SE,SSE,9.0,17.0,74.0,65.0,1017.9,1016.5,19.2,21.6,Yes,Yes,"(-36.0736, 146.9135)"
2016-01-05,Albury,15.5,22.9,6.8,ENE,31.0,SE,SSE,6.0,9.0,92.0,63.0,1016.3,1013.9,17.2,22.2,Yes,No,"(-36.0736, 146.9135)"
2016-01-06,Albury,17.0,28.1,0.2,SE,39.0,SSE,ENE,9.0,11.0,76.0,52.0,1014.6,1012.6,20.3,25.7,No,No,"(-36.0736, 146.9135)"
2016-01-07,Albury,16.4,28.0,0.0,SE,35.0,SE,ESE,20.0,20.0,46.0,31.0,1017.4,1015.7,20.9,26.6,No,No,"(-36.0736, 146.9135)"
2016-01-08,Albury,14.3,31.7,0.0,NNW,24.0,SSE,ENE,11.0,6.0,63.0,24.0,1019.6,1017.2,19.4,28.7,No,No,"(-36.0736, 146.9135)"
2016-01-09,Albury,16.7,35.0,0.0,WNW,28.0,E,SSE,11.0,9.0,52.0,24.0,1018.6,1015.5,24.2,33.1,No,No,"(-36.0736, 146.9135)"
2016-01-10,Albury,17.8,37.0,0.0,SSW,41.0,ESE,WNW,9.0,17.0,54.0,17.0,1016.6,1012.6,26.2,36.2,No,No,"(-36.0736, 146.9135)"
2016-01-11,Albury,17.7,39.2,0.0,WNW,56.0,SE,W,9.0,7.0,46.0,13.0,1011.6,1007.5,26.0,37.0,No,No,"(-36.0736, 146.9135)"
2016-01-12,Albury,20.6,38.9,0.0,WSW,56.0,ESE,W,6.0,24.0,40.0,18.0,1010.8,1009.8,28.1,37.6,No,No,"(-36.0736, 146.9135)"
2016-01-13,Albury,20.2,43.0,0.0,WNW,72.0,SE,N,15.0,24.0,51.0,16.0,1013.8,1007.5,27.9,42.3,No,No,"(-36.0736, 146.9135)"
2016-01-14,Albury,26.8,30.2,0.0,WNW,50.0,NE,SW,9.0,24.0,50.0,39.0,1010.5,1015.5,27.2,21.4,No,No,"(-36.0736, 146.9135)"
2016-01-15,Albury,10.4,25.2,0.0,SE,46.0,S,SE,19.0,20.0,41.0,31.0,1026.1,1023.8,15.9,23.9,No,No,"(-36.0736, 146.9135)"
2016-01-16,Albury,10.7,29.4,0.0,N,35.0,SSE,S,13.0,9.0,45.0,19.0,1027.4,1022.9,17.8,27.3,No,No,"(-36.0736, 146.9135)"
2016-01-17,Albury,14.5,30.6,0.0,NE,24.0,NNE,SSE,13.0,4.0,51.0,31.0,1024.2,1019.6,20.5,28.1,No,No,"(-36.0736, 146.9135)"
2016-01-18,Albury,14.4,33.5,0.0,E,28.0,SE,E,9.0,15.0,53.0,22.0,1019.2,1014.7,22.5,31.9,No,No,"(-36.0736, 146.9135)"
2016-01-19,Albury,16.1,40.0,0.0,NW,50.0,ESE,NW,7.0,19.0,46.0,15.0,1015.5,1009.4,24.3,37.6,No,No,"(-36.0736, 146.9135)"
2016-01-20,Albury,23.4,33.9,0.0,NE,39.0,NNW,SE,13.0,7.0,23.0,24.0,1010.1,1009.3,30.2,31.5,No,No,"(-36.0736, 146.9135)"
2016-01-21,Albury,20.4,38.0,0.0,WNW,56.0,SE,WNW,9.0,35.0,62.0,22.0,1009.0,1007.2,24.8,33.4,No,No,"(-36.0736, 146.9135)"
2016-01-22,Albury,22.8,28.1,0.0,NNW,39.0,SSE,W,9.0,2.0,67.0,89.0,1008.8,1007.4,24.2,21.7,No,Yes,"(-36.0736, 146.9135)"
2016-01-23,Albury,17.0,31.3,12.6,W,41.0,SSE,W,9.0,20.0,72.0,40.0,1009.2,1008.1,22.1,31.0,Yes,No,"(-36.0736, 146.9135)"
2016-01-24,Albury,16.6,33.2,0.0,SW,30.0,SSE,SSW,15.0,17.0,55.0,30.0,1011.3,1008.3,22.4,31.2,No,No,"(-36.0736, 146.9135)"
2016-01-25,Albury,18.1,32.8,0.0,SE,39.0,SE,SSW,11.0,11.0,56.0,30.0,1012.1,1009.6,24.0,30.5,No,No,"(-36.0736, 146.9135)"
2016-01-26,Albury,18.7,34.2,0.0,SE,31.0,SE,SSE,19.0,11.0,48.0,33.0,1015.7,1012.3,23.3,32.0,No,Yes,"(-36.0736, 146.9135)"
2016-01-27,Albury,18.5,25.7,19.4,W,37.0,ESE,E,9.0,17.0,96.0,65.0,1014.9,1010.5,18.9,23.2,Yes,Yes,"(-36.0736, 146.9135)"
2016-01-28,Albury,17.7,31.7,4.2,WNW,35.0,ESE,NE,0.0,13.0,83.0,47.0,1008.1,1002.8,20.8,30.4,Yes,No,"(-36.0736, 146.9135)"
2016-01-29,Albury,17.1,24.2,0.0,W,48.0,SE,WNW,7.0,24.0,77.0,72.0,1000.7,1003.4,20.7,16.1,No,No,"(-36.0736, 146.9135)"
2016-01-30,Albury,10.0,28.1,0.0,W,52.0,SSE,SSW,11.0,9.0,70.0,26.0,1005.2,1000.8,16.0,27.1,No,Yes,"(-36.0736, 146.9135)"
2016-01-31,Albury,13.8,24.2,7.0,WNW,48.0,NNE,NNW,17.0,26.0,79.0,48.0,1003.9,1002.2,16.9,22.5,Yes,Yes,"(-36.0736, 146.9135)"
2016-02-01,Albury,13.0,26.1,28.6,SSE,28.0,SSE,SW,17.0,13.0,88.0,47.0,1004.2,1003.2,14.7,24.2,Yes,No,"(-36.0736, 146.9135)"
2016-02-02,Albury,14.4,29.7,0.2,NNE,22.0,E,NW,7.0,7.0,69.0,37.0,1006.2,1003.2,20.7,28.0,No,No,"(-36.0736, 146.9135)"
2016-02-03,Albury,19.8,25.8,0.0,SSE,31.0,SW,E,6.0,13.0,67.0,74.0,1002.8,1004.4,22.4,22.6,No,No,"(-36.0736, 146.9135)"
2016-02-04,Albury,16.5,29.8,0.4,SSE,46.0,SE,SE,22.0,20.0,53.0,32.0,1014.0,1012.3,20.0,28.4,No,No,"(-36.0736, 146.9135)"
2016-02-05,Albury,14.2,29.9,0.0,SE,30.0,SE,SE,15.0,11.0,47.0,34.0,1018.3,1015.8,20.0,27.0,No,No,"(-36.0736, 146.9135)"
2016-02-06,Albury,14.6,30.3,0.0,NNE,22.0,S,E,7.0,13.0,64.0,34.0,1017.9,1014.7,20.3,28.1,No,No,"(-36.0736, 146.9135)"
2016-02-07,Albury,15.2,32.8,0.0,W,28.0,SSE,WSW,4.0,15.0,67.0,37.0,1017.9,1014.9,21.0,30.7,No,No,"(-36.0736, 146.9135)"
2016-02-08,Albury,18.0,35.2,0.0,SSW,37.0,NE,WSW,2.0,9.0,51.0,32.0,1019.0,1016.0,24.2,33.8,No,No,"(-36.0736, 146.9135)"
2016-02-09,Albury,18.8,35.0,0.0,NE,28.0,E,NNE,9.0,11.0,54.0,31.0,1019.0,1015.6,24.8,33.3,No,No,"(-36.0736, 146.9135)"
2016-02-10,Albury,15.7,35.0,0.0,W,33.0,SE,WSW,9.0,20.0,64.0,22.0,1014.2,1010.2,22.6,33.9,No,No,"(-36.0736, 146.9135)"
2016-02-11,Albury,17.3,35.2,0.0,E,28.0,SE,SE,6.0,9.0,53.0,23.0,1013.1,1010.4,23.3,33.6,No,No,"(-36.0736, 146.9135)"
2016-02-12,Albury,17.3,34.9,0.0,WNW,26.0,SE,NW,7.0,11.0,59.0,23.0,1014.9,1011.6,22.9,33.3,No,No,"(-36.0736, 146.9135)"
2016-02-13,Albury,16.9,37.7,0.0,W,30.0,SSE,N,2.0,7.0,55.0,16.0,1011.7,1007.3,22.7,35.8,No,No,"(-36.0736, 146.9135)"
2016-02-14,Albury,22.3,30.3,0.0,WNW,44.0,NW,WSW,15.0,20.0,53.0,27.0,1008.9,1008.2,23.4,28.9,No,No,"(-36.0736, 146.9135)"
2016-02-15,Albury,13.8,28.9,0.0,WSW,41.0,SSE,WSW,4.0,19.0,58.0,27.0,1012.0,1009.0,20.1,27.9,No,No,"(-36.0736, 146.9135)"
2016-02-16,Albury,15.2,26.3,0.0,W,43.0,WSW,W,20.0,26.0,54.0,24.0,1010.9,1009.8,19.4,24.8,No,No,"(-36.0736, 146.9135)"
2016-02-17,Albury,10.5,26.7,0.0,W,39.0,W,W,11.0,15.0,45.0,34.0,1013.6,1010.0,16.0,24.1,No,No,"(-36.0736, 146.9135)"
2016-02-18,Albury,12.7,30.5,0.0,WSW,28.0,SSE,WSW,9.0,13.0,63.0,32.0,1009.8,1006.8,18.5,28.7,No,No,"(-36.0736, 146.9135)"
2016-02-19,Albury,13.9,32.9,0.0,WSW,44.0,ESE,NW,7.0,20.0,64.0,24.0,1011.4,1009.7,19.9,31.1,No,No,"(-36.0736, 146.9135)"
2016-02-20,Albury,15.2,31.2,0.0,WNW,30.0,S,WSW,6.0,17.0,61.0,28.0,1017.2,1016.6,20.7,30.2,No,No,"(-36.0736, 146.9135)"
2016-02-21,Albury,13.6,34.4,0.0,NNW,33.0,SSE,NW,9.0,11.0,60.0,22.0,1023.6,1020.5,19.8,33.5,No,No,"(-36.0736, 146.9135)"
2016-02-22,Albury,15.2,35.4,0.0,ESE,31.0,SSE,SW,4.0,13.0,51.0,30.0,1023.9,1019.6,21.8,34.1,No,No,"(-36.0736, 146.9135)"
2016-02-23,Albury,20.1,39.5,0.0,N,41.0,ESE,NNW,11.0,20.0,46.0,19.0,1017.7,1013.3,26.5,38.4,No,No,"(-36.0736, 146.9135)"
2016-02-24,Albury,22.5,40.9,0.0,NNW,54.0,SE,NNW,7.0,30.0,43.0,15.0,1012.2,1008.1,28.3,40.1,No,No,"(-36.0736, 146.9135)"
2016-02-25,Albury,22.4,36.4,0.0,NW,43.0,SW,WSW,7.0,15.0,38.0,36.0,1009.6,1009.1,28.3,32.3,No,No,"(-36.0736, 146.9135)"
2016-02-26,Albury,14.9,31.2,0.2,WNW,33.0,SW,W,0.0,19.0,51.0,19.0,1015.8,1014.7,21.5,29.9,No,No,"(-36.0736, 146.9135)"
2016-02-27,Albury,14.7,33.1,0.0,SW,30.0,SE,SSW,7.0,13.0,58.0,28.0,1018.7,1015.6,20.9,32.3,No,No,"(-36.0736, 146.9135)"
2016-02-28,Albury,16.2,33.4,0.0,W,31.0,ESE,WSW,7.0,15.0,59.0,21.0,1018.0,1015.1,22.1,31.3,No,No,"(-36.0736, 146.9135)"
2016-02-29,Albury,15.4,32.3,0.0,SSW,24.0,ESE,S,6.0,15.0,56.0,34.0,1019.5,1016.5,21.6,30.3,No,No,"(-36.0736, 146.9135)"
2016-03-01,Albury,14.7,35.1,0.0,NW,37.0,SE,WNW,7.0,13.0,63.0,21.0,1019.5,1016.1,20.8,33.7,No,No,"(-36.0736, 146.9135)"
2016-03-02,Albury,16.8,37.2,0.0,W,31.0,E,WNW,4.0,11.0,48.0,10.0,1018.1,1015.9,23.9,36.4,No,No,"(-36.0736, 146.9135)"
2016-03-03,Albury,16.7,35.0,0.0,NNW,50.0,ESE,E,9.0,7.0,37.0,24.0,1019.4,1016.2,25.3,33.2,No,No,"(-36.0736, 146.9135)"
2016-03-04,Albury,15.9,37.0,0.0,N,26.0,E,S,7.0,7.0,57.0,22.0,1020.0,1016.1,23.0,36.3,No,No,"(-36.0736, 146.9135)"
2016-03-05,Albury,20.3,38.5,0.0,NNE,28.0,SE,SW,4.0,9.0,50.0,23.0,1019.3,1016.5,25.9,37.5,No,No,"(-36.0736, 146.9135)"
2016-03-06,Albury,20.5,37.1,0.0,NNE,46.0,NE,SSE,6.0,11.0,54.0,29.0,1019.8,1017.2,25.7,34.1,No,No,"(-36.0736, 146.9135)"
2016-03-07,Albury,17.4,38.5,0.2,NNE,24.0,ESE,S,6.0,9.0,56.0,22.0,1019.7,1016.7,24.8,36.5,No,No,"(-36.0736, 146.9135)"
2016-03-08,Albury,20.1,38.3,0.0,NE,30.0,ESE,NNW,7.0,11.0,56.0,14.0,1020.1,1017.2,25.6,37.0,No,No,"(-36.0736, 146.9135)"
2016-03-09,Albury,18.7,38.3,0.0,WSW,39.0,SE,WNW,9.0,20.0,49.0,24.0,1018.9,1015.4,25.7,35.2,No,No,"(-36.0736, 146.9135)"
2016-03-10,Albury,24.6,36.8,0.0,N,41.0,SE,SE,4.0,9.0,54.0,27.0,1018.9,1015.0,26.1,35.5,No,No,"(-36.0736, 146.9135)"
2016-03-11,Albury,20.0,32.3,0.6,W,46.0,E,NE,9.0,20.0,70.0,43.0,1017.5,1015.1,24.5,30.6,No,Yes,"(-36.0736, 146.9135)"
2016-03-12,Albury,20.0,34.0,6.6,S,28.0,ESE,E,7.0,7.0,80.0,45.0,1019.0,1016.9,23.1,32.5,Yes,No,"(-36.0736, 146.9135)"
2016-03-13,Albury,19.4,35.2,0.2,W,30.0,SSE,W,4.0,13.0,71.0,26.0,1018.6,1015.1,22.7,33.5,No,No,"(-36.0736, 146.9135)"
2016-03-14,Albury,18.0,35.1,0.0,SSW,37.0,SE,SW,7.0,22.0,59.0,21.0,1016.8,1013.7,22.5,33.8,No,No,"(-36.0736, 146.9135)"
2016-03-15,Albury,20.4,31.8,0.0,SE,33.0,SE,SSE,17.0,15.0,54.0,35.0,1018.0,1015.4,23.2,30.0,No,No,"(-36.0736, 146.9135)"
2016-03-16,Albury,19.2,30.8,0.0,SE,24.0,SE,ENE,7.0,11.0,61.0,30.0,1019.2,1015.5,20.8,30.1,No,No,"(-36.0736, 146.9135)"
2016-03-17,Albury,16.0,31.1,0.4,SE,26.0,SE,SSE,6.0,11.0,64.0,35.0,1015.5,1010.3,20.5,28.8,No,Yes,"(-36.0736, 146.9135)"
2016-03-18,Albury,19.8,21.1,10.4,W,74.0,N,W,22.0,37.0,98.0,55.0,996.0,1000.3,20.0,19.9,Yes,Yes,"(-36.0736, 146.9135)"
2016-03-19,Albury,9.5,21.1,10.4,SE,46.0,W,WSW,13.0,13.0,67.0,38.0,1013.7,1013.4,12.9,19.4,Yes,No,"(-36.0736, 146.9135)"
2016-03-20,Albury,12.7,24.2,0.0,SSE,31.0,SE,S,20.0,17.0,50.0,29.0,1018.2,1016.5,15.3,23.0,No,No,"(-36.0736, 146.9135)"
2016-03-21,Albury,12.4,25.2,0.0,SSE,35.0,SE,SE,19.0,19.0,54.0,34.0,1019.7,1016.5,16.6,24.0,No,No,"(-36.0736, 146.9135)"
2016-03-22,Albury,11.0,26.5,0.0,SW,31.0,S,E,6.0,9.0,67.0,34.0,1019.4,1015.6,15.8,24.9,No,No,"(-36.0736, 146.9135)"
2016-03-23,Albury,10.0,27.1,0.0,SW,30.0,S,W,0.0,13.0,81.0,31.0,1018.6,1017.1,14.2,25.4,No,No,"(-36.0736, 146.9135)"
2016-03-24,Albury,14.2,25.1,0.0,SSE,20.0,S,SSE,0.0,13.0,69.0,47.0,1020.3,1017.8,17.8,24.3,No,No,"(-36.0736, 146.9135)"
2016-03-25,Albury,15.5,28.4,0.2,W,35.0,S,W,0.0,22.0,85.0,39.0,1018.7,1015.9,16.6,26.9,No,No,"(-36.0736, 146.9135)"
2016-03-26,Albury,8.9,26.4,0.0,WSW,30.0,S,WSW,0.0,11.0,72.0,32.0,1018.4,1016.3,13.4,25.3,No,No,"(-36.0736, 146.9135)"
2016-03-27,Albury,10.0,27.4,0.0,NE,28.0,E,NNW,2.0,9.0,75.0,31.0,1018.2,1015.6,14.5,26.2,No,No,"(-36.0736, 146.9135)"
2016-03-28,Albury,11.7,27.8,0.0,NW,30.0,E,WNW,0.0,15.0,74.0,31.0,1017.4,1014.0,15.3,26.9,No,No,"(-36.0736, 146.9135)"
2016-03-29,Albury,13.8,26.2,0.0,NW,35.0,E,W,0.0,11.0,69.0,27.0,1017.7,1014.9,16.0,25.5,No,No,"(-36.0736, 146.9135)"
2016-03-30,Albury,11.8,20.4,0.8,NNE,33.0,E,SE,0.0,15.0,71.0,66.0,1017.5,1016.1,15.9,17.9,No,No,"(-36.0736, 146.9135)"
2016-03-31,Albury,9.5,25.5,0.0,SE,19.0,SE,S,4.0,11.0,83.0,42.0,1018.9,1016.4,13.0,23.1,No,No,"(-36.0736, 146.9135)"
2016-04-01,Albury,9.2,27.0,0.0,N,28.0,SE,N,0.0,17.0,81.0,22.0,1018.1,1015.0,13.0,26.0,No,No,"(-36.0736, 146.9135)"
2016-04-02,Albury,8.6,30.0,0.0,W,41.0,SE,W,0.0,19.0,73.0,21.0,1017.7,1015.2,12.6,29.1,No,No,"(-36.0736, 146.9135)"
2016-04-03,Albury,7.6,26.5,0.0,SE,22.0,ESE,WNW,6.0,6.0,54.0,29.0,1023.6,1020.4,17.9,26.2,No,No,"(-36.0736, 146.9135)"
2016-04-04,Albury,9.7,28.8,0.0,SE,20.0,SE,S,11.0,9.0,59.0,35.0,1022.2,1016.5,17.3,27.1,No,No,"(-36.0736, 146.9135)"
2016-04-05,Albury,10.5,31.8,0.0,N,35.0,ENE,NNW,9.0,22.0,65.0,23.0,1017.0,1011.9,18.8,31.0,No,No,"(-36.0736, 146.9135)"
2016-04-06,Albury,7.9,26.4,0.0,WNW,39.0,ENE,WNW,0.0,15.0,50.0,32.0,1014.5,1014.0,17.7,23.2,No,No,"(-36.0736, 146.9135)"
2016-04-07,Albury,5.3,22.5,0.0,E,22.0,SSE,SSW,7.0,11.0,84.0,36.0,1024.1,1020.9,12.0,22.1,No,No,"(-36.0736, 146.9135)"
2016-04-08,Albury,11.4,19.7,0.0,W,17.0,SSE,WSW,0.0,9.0,66.0,64.0,1023.0,1021.8,13.7,16.7,No,No,"(-36.0736, 146.9135)"
2016-04-09,Albury,4.8,23.1,0.4,WSW,24.0,ENE,WSW,6.0,19.0,70.0,33.0,1023.7,1020.2,12.9,22.9,No,No,"(-36.0736, 146.9135)"
2016-04-10,Albury,6.1,24.0,0.0,W,39.0,SE,W,6.0,17.0,71.0,42.0,1021.9,1018.4,13.7,21.9,No,No,"(-36.0736, 146.9135)"
2016-04-11,Albury,8.7,24.9,0.0,WNW,31.0,NNE,W,4.0,17.0,70.0,36.0,1020.6,1017.8,14.4,24.5,No,No,"(-36.0736, 146.9135)"
2016-04-12,Albury,8.4,24.7,0.0,SW,22.0,ENE,SSW,2.0,9.0,63.0,39.0,1022.9,1019.7,15.4,24.3,No,No,"(-36.0736, 146.9135)"
2016-04-13,Albury,8.9,27.2,0.0,N,24.0,ENE,ENE,0.0,9.0,61.0,34.0,1027.0,1023.6,16.2,26.8,No,No,"(-36.0736, 146.9135)"
2016-04-14,Albury,10.0,28.7,0.0,NNW,24.0,SSE,N,4.0,11.0,63.0,27.0,1028.5,1024.2,16.9,28.2,No,No,"(-36.0736, 146.9135)"
