Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
Albury,11.3,26.5,0.0,WNW,56.0,W,WNW,19.0,31.0,46.0,26.0,1004.5,1003.2,19.7,25.7,No,No,-36.0736,146.9135,2009,1,1
Albury,9.6,23.9,0.0,W,41.0,WSW,SSW,19.0,11.0,44.0,22.0,1014.4,1013.1,14.9,22.1,No,No,-36.0736,146.9135,2009,1,2
Albury,10.5,28.8,0.0,SSE,26.0,SSE,E,11.0,7.0,43.0,22.0,1018.7,1014.8,17.1,26.5,No,No,-36.0736,146.9135,2009,1,3
Albury,12.3,34.6,0.0,WNW,37.0,SSE,NW,6.0,17.0,41.0,12.0,1015.1,1010.3,20.7,33.9,No,No,-36.0736,146.9135,2009,1,4
Albury,12.9,35.8,0.0,WNW,41.0,ENE,NW,6.0,26.0,41.0,9.0,1012.6,1009.2,22.4,34.4,No,No,-36.0736,146.9135,2009,1,5
Albury,13.7,37.9,0.0,W,52.0,SE,WNW,4.0,26.0,33.0,8.0,1010.9,1006.7,23.1,36.8,No,No,-36.0736,146.9135,2009,1,6
Albury,16.1,38.9,0.0,W,57.0,E,W,6.0,30.0,34.0,12.0,1007.0,1002.7,25.2,38.4,No,No,-36.0736,146.9135,2009,1,7
Albury,14.0,28.3,0.0,W,48.0,W,WSW,17.0,24.0,43.0,15.0,1011.9,1010.9,17.9,27.6,No,No,-36.0736,146.9135,2009,1,8
Albury,12.5,28.4,0.0,NE,37.0,SSE,S,20.0,9.0,38.0,16.0,1017.8,1013.7,17.2,26.6,No,No,-36.0736,146.9135,2009,1,9
Albury,17.0,30.8,0.0,NE,37.0,NNE,E,15.0,11.0,36.0,24.0,1013.4,1008.1,20.2,29.3,No,No,-36.0736,146.9135,2009,1,10
Albury,16.9,32.0,0.0,S,31.0,SSE,N,13.0,17.0,52.0,31.0,1009.9,1006.8,22.8,30.0,No,No,-36.0736,146.9135,2009,1,11
Albury,17.3,34.7,0.0,SW,35.0,SE,WSW,7.0,15.0,48.0,16.0,1014.1,1012.1,24.2,33.2,No,No,-36.0736,146.9135,2009,1,12
Albury,17.2,37.7,0.0,NNW,35.0,SE,NW,7.0,17.0,51.0,19.0,1015.7,1010.9,24.3,35.7,No,No,-36.0736,146.9135,2009,1,13
